1;ja;komisch, verrückt sein;nein;ja;Bezeichnung wenn man mit jemandem etwas körperliches haben wollen würde;nein;ja ;Unangenehm (etwas oder jemand);ja;ja;Verloren sein;ja
2;ja;Wenn etwas lustig oder albern ist, kann man es als goofy bezeichnen. ;nein;ja;Smash kann sowas bedeuten, wie etwas mit jemanden anzufangen. ;nein;ja ;Wenn etwas unangenehm oder peinlich ist, kann man es als cringe bezeichnen, ;ja;ja;"Wenn man sich bei etwas verloren oder planlos fühlt, kann man sagen: ""Ich fühl mich lost."" ";nein
3;ja;Goofy bedeutet ein bisschen verrückt zu sein aber auf spaßige Art und Weise. Zumindest kenne ich das Wort nur in diesem Zusammenhang. :);nein;nein;übersprungen;nein;ja ;Cringe bedeutet, wenn eine Situation oder Handlung peinlich ist. ;nein;ja;Ich bin lost bedeutet so viel wie ich weiß nicht mehr weiter. Ich weiß nicht, was ich noch machen soll. Ich versuche die Aufgabe X umzusetzen aber bin lost. D.h. habe keine Ahnung was ich als nächstes tun muss um dieses Ziel zu erreichen.;nein
4;ja;Goofy bedeutet für mich albern sein, oder komisch.;nein;nein;übersprungen;nein;ja ;Für mich etwas peinliches oder sozial unangenehmes (bspw. eine Äußerung). Sehr häufig in englischen teilen des Internets vorzufinden.;ja;ja;Eine Meinung ist komplett daneben;nein
5;ja;Tollpatschigkeit;nein;nein;übersprungen;nein;ja ;peinlich;nein;ja;da bin ich raus/verloren, ich habe keine Ahnung;nein
6;ja;Tollpatschig, verrückt;nein;ja;Jemanden sehr gut finden bzw mit der Person ins Bett steigen würden;nein;ja ;Fremdschämen;nein;ja;Etwas nicht kapieren, gedanklich verloren sein.;nein
7;nein;übersprungen;nein;nein;übersprungen;nein;ja ;auf negative Art weird, ungeheuer, unpassend;nein;ja;u.a. verwirrt ;nein
8;ja;Goofy ist wenn jemand sich etwas tollpatschig benimmt.;nein;ja;Wenn man eine Person attraktiv findet.;nein;ja ;Wenn man etwas unangenehmes sagt oder eine unangenehme Situation auftritt.;ja;ja;Wenn jemand den Durchblick verloren hat, bzw. etwas unsicher oder unentschlossen ist ;ja
9;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein
10;ja;dämlich, trottelig;nein;ja;hauen;nein;ja ;peinlich;nein;ja;verwirrt;nein
11;nein;übersprungen;nein;ja;Nö;nein;ja ;nö;nein;ja;nö;nein
12;ja;albern, lustig;nein;nein;übersprungen;nein;ja ;peinlich, unangenehm;ja;ja;verwirrt;ja
13;nein;übersprungen;nein;ja;gut gemacht, super;nein;nein;übersprungen;nein;ja;verloren;nein
14;nein;übersprungen;nein;ja;etwas das sehr toll ist;nein;ja ;unangenehm/ Fremdscham;ja;ja;verloren/ verpeilt;ja
15;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;ja;"Verpiss dich
Hau ab
Lass mich damit in Ruhe";nein
16;nein;übersprungen;nein;nein;übersprungen;nein;ja ;peinlich;nein;ja;kein plan was ich mache;ja
17;nein;übersprungen;nein;ja;Wenn etwas einem gut gefällt. Anlehnung an eine ehemalige? Datingshow (Smash or Pass?);nein;ja ;Wenn eine Person oder ein Ereignis sehr seltsam ist;ja;ja;"""Lost"" wird benutzt, um auszudrücken, dass etwas oder jemand ganz komisch ist bzw. etwas schiefgelaufen ist (wenn jmd. verpeilt oder naiv ist etc.)";ja
18;nein;übersprungen;nein;ja;Smash bedeutet etwas zu liken, etwas oder jemanden attraktiv oder schön zu finden.;ja;ja ;Cringe bedeutet seltsam, anstößig, komisch.;ja;ja;Lost bedeutet, sich in einer Situation nicht zurecht zu finden, allein zu sein.;ja
19;ja;"Quasi ein Kasper, der auch etwas tollpatschig ist
";nein;nein;--;nein;ja ;sich für etwas schämen ;nein;nein;--;nein
20;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein
21;nein;übersprungen;nein;ja;Es bedeutet bumsbar;ja;ja ;Komisch;ja;ja;Verloren;ja
22;nein;"Der Begriff ""goofy"" wird genutzt, um jemanden zu charakterisieren, der tollpatschig, albern oder ungeschickt agiert. Er kann auch darauf hinweisen, dass eine Person eigenartige oder ungewöhnliche Verhaltensweisen aufweist, die andere amüsieren.";nein;nein;übersprungen;nein;ja ;Das Wort „cringe” wird in der Jugendsprache verwendet, um Fremdscham auszudrücken. Ist eine Person oder Situation also besonders peinlich, kann sie als „cringe/cringy” bezeichnet werden.;ja;nein;übersprungen;nein
23;ja;Albern;nein;nein;übersprungen;nein;ja ;fremdscham, unwohlsein, peinlich;ja;ja;verloren;nein
24;nein;übersprungen;nein;ja;Wenn jemand gut aussieht aber auch wenn etwas gut schmeckt. Eigentlich generell wenn man etwas gut findet kann man dazu smash sagen;ja;ja ;wenn jemand etwas peinliches sagt oder macht. Aber auch Situationen, Momente können als cringe bezeichnet werden;ja;ja;lost ist jemand der keine Ahnung von etwas hat oder ständig verwirrt ist, Sachen nicht schnell checkt. Oder jemand der keine Ahnung hat was er mit seinem Leben machen soll;ja
25;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;ja;Verloren;nein
26;ja;Albern;nein;ja;Meist im sexuellen Kontext z.T. aber auch Ausdruck allgemeiner Befürwortung von etwas;ja;ja ;"Drückt aus das etwas unangenehm ist, insbesondere im Kontext von ""Fremdscham""";ja;ja;Verloren, verwirrt. ;ja
27;nein;-;nein;nein;-;nein;ja ;"Wenn etwas unangenehmes passiert; wenn sich jemand unangenehm benimmt";ja;ja;Wenn man nicht weiter weiß;ja
28;nein;übersprungen;nein;ja;find ich gut;nein;ja ;etwas ist ganz komisch, fremdscham-mäßig;ja;ja;man ist total verwirrt, hat keinen Plan;ja
29;ja;aufgedreht, lustig;nein;ja;übersprungen;ja;ja ;Fremdscham;ja;ja;"Eine Person, die nicht genau weiß, was sie tut und unsicher durchs Leben geht, ist ""lost""";ja
30;nein;übersprungen;nein;ja;wenn etwas sehr gut ist;nein;ja ;wenn etwas merkwürdig ist;ja;ja;wenn man ein bisschen durcheinander ist;ja
31;ja;Verrückt und tollpatschig ;nein;ja;"""würde ich machen"" oder ""eine Sache machen"" oder ""mit Frau/Mann was anfangen"" ";ja;ja ;etwas unangenehm finden ;ja;ja;wenn jemand unachtsam und unaufmerksam ist ;ja
32;nein;übersprungen;nein;nein;übersprungen;nein;ja ;komisch oder seltsam;ja;ja;verloren ;ja
33;nein;übersprungen;nein;ja;übersprungen;nein;ja ;übersprungen;ja;ja;übersprungen;ja
34;nein;übersprungen;nein;ja;übersprungen;nein;ja ;unangenehm ;nein;ja;verloren/ überfordert ;ja
35;nein;übersprungen;nein;ja;smash or pass;nein;ja ;komisch;ja;ja;verloren;ja
36;nein;übersprungen;nein;ja;zerdrücken, zerkleinern;nein;nein;übersprungen;nein;ja;verloren, nicht anerkannt, mitleiderregend;nein
37;nein;übersprungen;nein;nein;übersprungen;nein;ja ;Fremd schämen ;nein;ja;Verloren sein ;nein
38;nein;übersprungen;nein;ja;dass man etwas richtig gut findet;nein;ja ;dass man etwas komisch/unangenehm findet ;ja;ja;Wenn etwas unnötig/dumm oder komisch ist;ja
39;nein;übersprungen;nein;ja;Sagt man, wenn man etwas gut findet;nein;ja ;Etwas ist peinlich/ eigenartig;ja;ja;"""Er/Sie ist so lost"" - verwendet man um auszudrücken, dass eine Person ""keine Ahnung"" von der aktuellen Situation hat, bzw.  Man verwirrt ist";ja
