Teilnehmer;Startzeit;Endzeit;Quelle;"Kennen Sie die Bedeutung des Jugendwortes ""goofy""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""goofy"")";"Nutzen Sie das Jugendwort ""goofy"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""smash""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""smash"")";"Nutzen Sie das Jugendwort ""smash"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""cringe""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""cringe"")";"Nutzen Sie das Jugendwort ""cringe"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""lost""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""lost"")";"Nutzen Sie das Jugendwort ""lost"" in Ihrem alltäglichen Sprachgebrauch?";Wie alt sind Sie?;Wie ist Ihr Geschlecht?;Was ist Ihr höchster Bildungsabschluss?
1;17.11.2023 23:08:08;17.11.2023 23:10:21;Direkter Link;ja;komisch, verrückt sein;nein;ja;Bezeichnung wenn man mit jemandem etwas körperliches haben wollen würde;nein;ja ;Unangenehm (etwas oder jemand);ja;ja;Verloren sein;ja;26;Weiblich;Allgemeine Hochschulreife
2;18.11.2023 02:18:20;18.11.2023 02:35:34;empirio;ja;Wenn etwas lustig oder albern ist, kann man es als goofy bezeichnen. ;nein;ja;Smash kann sowas bedeuten, wie etwas mit jemanden anzufangen. ;nein;ja ;Wenn etwas unangenehm oder peinlich ist, kann man es als cringe bezeichnen, ;ja;ja;"Wenn man sich bei etwas verloren oder planlos fühlt, kann man sagen: ""Ich fühl mich lost."" ";nein;28;Weiblich;Bachelor
3;18.11.2023 10:09:11;18.11.2023 10:12:24;empirio;ja;Goofy bedeutet ein bisschen verrückt zu sein aber auf spaßige Art und Weise. Zumindest kenne ich das Wort nur in diesem Zusammenhang. :);nein;nein;übersprungen;nein;ja ;Cringe bedeutet, wenn eine Situation oder Handlung peinlich ist. ;nein;ja;Ich bin lost bedeutet so viel wie ich weiß nicht mehr weiter. Ich weiß nicht, was ich noch machen soll. Ich versuche die Aufgabe X umzusetzen aber bin lost. D.h. habe keine Ahnung was ich als nächstes tun muss um dieses Ziel zu erreichen.;nein;35;Weiblich;Bachelor
4;18.11.2023 14:43:19;18.11.2023 14:45:12;empirio;ja;Goofy bedeutet für mich albern sein, oder komisch.;nein;nein;übersprungen;nein;ja ;Für mich etwas peinliches oder sozial unangenehmes (bspw. eine Äußerung). Sehr häufig in englischen teilen des Internets vorzufinden.;ja;ja;Eine Meinung ist komplett daneben;nein;31;Männlich;Realschulabschluss
5;18.11.2023 15:56:10;18.11.2023 15:59:47;empirio;ja;Tollpatschigkeit;nein;nein;übersprungen;nein;ja ;peinlich;nein;ja;da bin ich raus/verloren, ich habe keine Ahnung;nein;24;Weiblich;Allgemeine Hochschulreife
6;18.11.2023 17:48:36;18.11.2023 17:52:26;Direkter Link;ja;Tollpatschig, verrückt;nein;ja;Jemanden sehr gut finden bzw mit der Person ins Bett steigen würden;nein;ja ;Fremdschämen;nein;ja;Etwas nicht kapieren, gedanklich verloren sein.;nein;30;Männlich;Allgemeine Hochschulreife
7;18.11.2023 19:41:31;18.11.2023 19:43:37;empirio;nein;übersprungen;nein;nein;übersprungen;nein;ja ;auf negative Art weird, ungeheuer, unpassend;nein;ja;u.a. verwirrt ;nein;22;Divers;Allgemeine Hochschulreife
8;19.11.2023 01:19:24;19.11.2023 01:21:46;empirio;ja;Goofy ist wenn jemand sich etwas tollpatschig benimmt.;nein;ja;Wenn man eine Person attraktiv findet.;nein;ja ;Wenn man etwas unangenehmes sagt oder eine unangenehme Situation auftritt.;ja;ja;Wenn jemand den Durchblick verloren hat, bzw. etwas unsicher oder unentschlossen ist ;ja;24;Weiblich;Berufsausbildung
9;19.11.2023 15:35:57;19.11.2023 15:36:40;Direkter Link;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;61;Männlich;Diplom
10;19.11.2023 17:43:47;19.11.2023 17:46:27;Direkter Link;ja;dämlich, trottelig;nein;ja;hauen;nein;ja ;peinlich;nein;ja;verwirrt;nein;36;Männlich;Master
